trial,epoch,train_loss,train_acc,test_loss,test_acc,best_val_acc,best_test_acc
1,1,1.2002600685079048,33.975,1.043449893910834,42.93333333333333,34.6,42.93333333333333
1,2,1.1223463327326673,35.65833333333333,1.0964906443940832,33.63333333333333,34.6,42.93333333333333
1,3,1.118900292731346,36.50833333333333,1.0502756225301864,39.13333333333333,35.666666666666664,39.13333333333333
1,4,1.085112969291971,40.68333333333333,1.007544144671014,55.56666666666667,35.666666666666664,39.13333333333333
1,5,1.0633272921785395,43.85,1.0485016690923812,49.06666666666667,35.666666666666664,39.13333333333333
1,6,1.0401493608951569,46.125,1.0523062614684409,43.8,35.666666666666664,39.13333333333333
1,7,1.0019187977973452,49.95,1.068494144906389,45.166666666666664,35.666666666666664,39.13333333333333
1,8,0.934682864458003,55.858333333333334,1.2343562181959762,37.03333333333333,35.666666666666664,39.13333333333333
1,9,0.844041311994512,61.458333333333336,1.1018873694095206,45.5,35.666666666666664,39.13333333333333
1,10,0.711860106504978,69.33333333333333,1.3859400546297114,38.766666666666666,35.666666666666664,39.13333333333333
1,11,0.5968124257757309,74.33333333333333,1.3010825857203057,46.8,35.666666666666664,39.13333333333333
1,12,0.480148194952214,80.28333333333333,2.0243447816118283,39.666666666666664,35.666666666666664,39.13333333333333
1,13,0.38351176536463677,85.25833333333334,1.7866013455898204,40.0,35.666666666666664,39.13333333333333
1,14,0.3266467260236436,87.3,1.9747172695525148,40.96666666666667,35.666666666666664,39.13333333333333
1,15,0.26179546846988355,89.66666666666667,2.206842620322045,40.266666666666666,35.666666666666664,39.13333333333333
